id,weight,parentID,en_title,en_desc,es_title,es_desc
163,2,35,"I live in a group home.",,"Yo vivo en un hogar de grupo.",
221,0,163,"They are threatening to kick me out.",,"Están amenazando con echarme.",
222,1,163,"I am looking for a group home in Connecticut.",,"I am looking for a group home in Connecticut.",
164,3,35,"I am homeless or live in a shelter.",,"No tengo vivienda, o vivo en un refugio para personas sin hogar.",
302,0,164,"I need to find a place to live.",,"Necesito ayuda para encontrar un sito donde vivir (rentar).",
300,1,164,"A homeless shelter is threatening to kick me out.",,"El refugio para personas sin hogar me está amenazando con echarme.",
303,2,164,"I need help with getting rental assistance.",,"Yo necesito ayuda con asistencia para la renta.",
301,3,164,"I need help with child care and expenses related to getting a job.",,"Necesito ayuda con cuidado de niños y gastos relacionados con buscar empleo.",
32,3,17,"I have a general housing question or problem.",,"Preguntas Generales de Vivienda",
97,-2,32,"I have a problem with a former landlord.",,"Yo tengo un problema con un  casero anterior.",
230,0,97,"My landlord won't return my security deposit.",,"Mi casero no quiere devolver mi depósito de alquiler.",
228,1,97,"My landlord won't give back my personal belongings (such as clothing, furniture, TV).",,"Mi casero no me quiere devolver mis pertenencias personales (tales como ropa, muebles, televisor).",
229,2,97,"My former landlord is suing me for unpaid rent or damages.",,"Mi casero anterior me está demandando por renta sin pagar o daños.",
98,-1,32,"I'm having a problem with my utilities (electric, heat, gas, phone).",,"Tengo problemas con las utilidades (electricidad, calefacción, gas natural, teléfono).",
309,0,98,"I can't pay my electric, oil, or gas bill.",,"No puedo pagar mi factura de electricidad, calefacción, o gas natural.",
308,1,98,"I can't pay my phone bill.",,"No puedo pagar mi factura de teléfono.",
310,2,98,"I have a complaint about a utility company.",,"Yo tengo una querella contra la compañia de utilidades.",
311,5,98,"My landlord shut off some or all of my utilities.",,"Mi casero desconectó algunas o todas mi utilidades.",
307,6,98,"I need money for a new heating system.",,"Yo necesito dinero para un sistema nuevo de calefacción para mi hogar.  ",
99,0,32,"I need help with rental assistance such as Section 8, RAP, or a security deposit.",,"Yo necesito ayuda con asistencia para la renta (tal como Sección 8) o un depósito de alquiler.",
321,0,99,"I need help getting the money for a security deposit.",,"Necesito ayuda obteniendo dinero para un depósito de alquiler.",
320,1,99,"I want to apply for rental assistance.",,"Yo quiero solicitar asistencia para la renta.",
323,2,99,"I applied for rental assistance (such as Section 8 or RAP) but was denied.",,"Yo solicité asistencia para la renta pero fui negado.",
322,3,99,"I'm having a problem with my rental assistance, such as termination, overpayment, a payment plan, or recalculation.",,"Yo solicité asistencia para la renta pero no me dieron la cantidad que necesito.",
101,1,32,"I am a veteran and want to learn more about my rights and options.",,"I am a veteran and want to learn more about my rights and options.",
102,2,32,"I have a disability and want to learn about my rights and options.",,"I have a disability and want to learn about my rights and options.",
100,4,32,"I have another housing problem.",,"Yo tengo otro problema de vivienda.",
22,2,0,"Benefits and Social Services","SNAP (food stamps), cash assistance, health insurance, Social Security, and more.",Beneficios,"SNAP (cupones de alimentos), asistencia en efectivo, seguro de salud, Seguro Social y más."
57,-6,22,"I need help with benefits programs in CT: DSS programs, food stamps/SNAP, cash assistance, Medicaid/Title 19, health insurance, unemployment, and more.",,"Yo necesito ayuda con programas de beneficios en Connecticut: programas de DSS, cupones de alimentos, programas de asistencia de dinero, Medicaid, seguro de salud, compensación de desempleo, y más.",
201,-5,57,"I need help with SNAP (food stamps).",,"Yo necesito ayuda con SNAP (cupones de alimentos).",
241,-1,201,"I get SNAP now.",,"Yo recibo SNAP (cupones de alimentos) ahora.",
356,-4,241,"DSS says they overpaid me and I owe them money.",,"DSS (Departamento de Servicios Sociales) me ha atribuído un sobrepago.",
358,-1,241,"I have a problem with my EBT (food stamp) card.",,"Yo tengo un problema con mi tarjeta de EBT (cupones de alimentos).",
359,-1,241,"I want to know if I'm getting the right amount of food stamps.",,"Yo quiero saber si estoy recibiendo la cantidad correcta de cupones de alimentos.",
357,0,241,"DSS lowered my benefits.",,"El Departamento de Servicios Sociales (DSS) ha reducido mis beneficios.",
355,1,241,"I have another problem with SNAP.",,"Yo tengo otro problema relacionado a SNAP.",
242,0,201,"I do NOT get SNAP now.",,"Yo no recibo SNAP ahora.",
368,-3,242,"I want to apply for SNAP.",,"Yo quiero aplicar para SNAP (cupones de alimentos).",
367,-2,242,"I want to apply for emergency food stamps (Expedited SNAP).",,"Yo quiero aplicar para Expedited SNAP (cupones de alimentos de emergencia).",
366,-1,242,"I've already applied for SNAP.",,"Ya he aplicado para SNAP.",
455,-3,366,"I applied for SNAP but I haven't heard back from DSS.",,"Ya apliqué para SNAP pero no recibido respuesta de DSS.",
456,-2,366,"I applied for SNAP but was turned down.",,"Yo apliqué para SNAP pero me lo negaron.",
457,0,366,"I have another problem with my SNAP application.",,"Yo tengo otro problema con mi aplicación para SNAP.",
365,0,242,"DSS has cut off my SNAP benefits.",,"El Departamento de Servicios Sociales descontinuó mis beneficios de SNAP.",
243,1,201,"I have another problem with SNAP.",,"Yo tengo otro problema relacionado a SNAP.",
202,-4,57,"I need help with cash assistance, such as TFA, State Supplement, or SAGA.",,"Yo necesito ayuda con Programas de Asistencia de Dinero (TFA, Suplementario del Estado, o SAGA).",
250,-1,202,"I need help with TFA (Temporary Family Assistance).",,"Yo necesito ayuda con TFA (Asistencia Temporera para Familias).",
410,-1,250,"I get TFA now.",,"Yo recibo TFA ahora.",
437,-3,410,"DSS says they overpaid me and I owe them money.",,"DSS me ha atribuido un sobrepago.",
436,-2,410,"I have a problem with my EBT card.",,"Yo tengo un problema con mi tarjeta de EBT.",
439,-1,410,"I want to apply for an extension.",,"Yo quiero aplicar para una extensión.",
440,0,410,"DSS lowered or stopped my TFA benefits.",,"El Departamento de Servicios Sociales (DSS) ha reducido o descontinuado mis beneficios de TFA.",
438,0,410,"I get TFA but I think I should be getting more.",,"Yo estoy recibiendo TFA pero no estoy recibiendo tanto como creo que debo recibir.",
412,0,250,"I do not get TFA now.",,"Yo no recibo TFA ahora.",
449,-2,412,"I need information about TFA.",,"Yo quiero saber más de TFA.",
450,0,412,"I applied for TFA but I haven't heard back from DSS.",,"Yo apliqué pero no he recibido contestación del Departamento de Servicios Sociales (DSS).",
451,1,412,"I applied for TFA but was turned down.",,"Yo apliqué para TFA pero me lo negaron.",
411,1,250,"I have a different problem with TFA.",,"Yo tengo otro problema diferente relacionado a TFA.",
251,0,202,"I need help with the State Supplement (Aid to the Aged, Blind and Disabled, or AABD).",,"Yo necesito ayuda con el Suplementario del Estado (Ayuda para los Ancianos, Ciegos e Incapacitados, o AABD).",
413,-1,251,"I get AABD now.",,"Yo recibo AABD ahora (Suplementario del Estado).",
443,-3,413,"They told me my benefits are being lowered.",,"Ellos me dijeron que mis beneficios han sido reducidos.",
441,-2,413,"I am being charged with an overpayment.",,"Me han atribuido un caso de sobrepago.",
444,0,413,"I am not getting as much as I think I should.",,"Yo no estoy recibiendo tanto como creo que debo recibir.",
442,0,413,"I need help with something else related to AABD.",,"Yo necesito ayuda con algo más relacionado a AABD.",
415,0,251,"I do not get AABD now.",,"Yo no recibo AABD ahora.",
453,-2,415,"I need information about AABD.",,"Yo quiero saber más acerca de AABD  (Asistencia para los Ancianos, Ciegos e Incapacitados).",
452,0,415,"I've applied but haven't heard back.",,"Yo apliqué pero no he recibido noticias todavía.",
454,1,415,"I applied for AABD but was turned down.",,"Yo apliqué para AABD pero me lo negaron.",
414,1,251,"I have another problem with AABD.",,"Yo tengo otro problema relacionado con AABD.",
249,1,202,"I need help with SAGA (State Administered General Assistance).",,"Yo necesito ayuda con SAGA (Asistencia General Administrada por el Estado).",
378,-1,249,"I get SAGA now.",,"Yo recibo SAGA ahora.",
458,-3,378,"I am being charged with an overpayment.",,"Me han atribuido con un sobrepago.",
459,-2,378,"I am not getting as much as I think I should.",,"Yo no estoy recibiendo tanto como creo que debo.",
460,-1,378,"They told me my benefits are being lowered.",,"Ellos me dijeron que mis beneficios van a ser reducidos.",
461,0,378,"I need help with something else related to SAGA.",,"Yo necesito ayuda con algo más relacionado a SAGA.",
376,0,249,"I do not get SAGA now.",,"Yo no recibo SAGA ahora.",
446,-2,376,"I want to know more about SAGA.",,"Yo quiero saber más sobre SAGA.",
447,-1,376,"I want to know if I can get SAGA.",,"Yo quiero saber si puedo recibir SAGA.",
448,0,376,"I've applied but haven't heard back.",,"Yo apliqué pero no he oído nada de ellos.",
445,1,376,"I applied for SAGA but was turned down.",,"Yo apliqué para SAGA pero me lo negaron.",
377,1,249,"I have another problem with SAGA.",,"Yo tengo otro problema relacionado con SAGA.",
200,-1,57,"I need help with health insurance (Medicaid, HUSKY, or Access Health-CT).",,"Yo necesito ayuda con Seguro de Salud (Medicaid, HUSKY, o Access Health-CT).",
213,-2,200,"My child or I get Medicaid or HUSKY now.",,"Mi hijo o yo recibo beneficios de Medicaid o HUSKY ahora.",
370,-2,213,"I have Medicaid but have been denied a medical service, equipment, or medication that I need.",,"Yo tengo Medicaid pero me han negado un servicio médico, equipo, o medicamento que necesito.",
371,-1,213,"I have questions about my coverage.",,"Yo tengo preguntas sobre my cobertura.",
372,0,213,"I have questions about my spend-down.",,"Yo tengo preguntas sobre mi spend-down (deducible).",
369,1,213,"I have another problem with getting medical services through Medicaid.",,"Yo tengo otro asunto acerca de recibir servicios médicos a través de Medicaid.",
214,-1,200,"My child or I do NOT get Medicaid or HUSKY now.",,"Mi hijo o yo no recibimos Medicaid o HUSKY ahora.",
398,-3,214,"I want to apply for Medicaid for myself or for my children.",,"Yo quiero aplicar para Medicaid para mí o para mis hijos.",
399,-2,214,"I want to know if my children or I can get Medicaid.",,"Yo quiero saber si mis hijos o yo somos elegible para Medicaid.",
401,-1,214,"I applied for Medicaid but haven't gotten an answer.",,"Yo apliqué para Medicaid pero no he recibido contestación.",
402,0,214,"I applied for Medicaid but was turned down.",,"Yo apliqué para Medicaid pero me lo negaron.",
400,1,214,"I have questions about my spend-down.",,"Yo tengo preguntas con relacion a mi spend-down (deducible).",
215,0,200,"I have another problem with Medicaid or HUSKY.",,"Yo tengo otro problema relacionado con Medicaid o HUSKY.",
216,0,200,"My question is only about Access Health-CT (not about Medicaid or HUSKY).",,"Mi pregunta es solamente acerca de Access Health-CT (no acerca de Medicaid o HUSKY).",
204,0,57,"I need help with unemployment benefits.",,"Yo necesito ayuda con compensación de desempleo.",
334,0,204,"I am getting unemployment benefits right now.",,"Yo estoy recibiendo compensación por desempleo ahora.",
422,-2,334,"I got a notice that my unemployment benefits are going to be lowered or cut off.",,"Yo recibí una noticia de que mis beneficios por desempleo van a ser reducidos o terminados.",
419,-1,334,"I don't think I'm getting the right amount of unemployment benefits.",,"Yo no creo que estoy recibiendo la cantidad correcta de beneficios por desempleo.",
420,0,334,"I got a notice that I was paid too much unemployment.",,"Yo recibí una noticia de que me pagaron mucho desempleo.",
421,1,334,"I have a different problem with my unemployment benefits.",,"Yo tengo un problema diferente con mis beneficios de desempleo.",
333,0,204,"I am NOT getting unemployment benefits right now.",,"Yo no estoy recibiendo compensación de desempleo ahora.",
362,-1,333,"I applied for unemployment but was turned down.",,"Yo apliqué para desempleo pero me lo negaron.",
363,0,333,"I applied for unemployment benefits but haven't heard back.",,"Yo apliqué para beneficios de desempleo pero no he oído nada.",
364,0,333,"I want to apply for unemployment benefits.",,"Yo quiero aplicar para beneficios de desempleo.",
361,0,333,"My employer has appealed my unemployment claim.",,"Mi empleador apeló mi reclamación de desempleo.",
360,1,333,"I have a different problem about unemployment benefits.",,"Yo tengo un problema diferente relacionado a mis beneficios de desempleo.",
203,2,57,"I need help with other benefits programs in Connecticut: Elder programs, fuel assistance, and more.",,"Yo necesito ayuda con otros programas de beneficios en Connecticut.",
265,-4,203,"I need help with the Home Care Program for Elders.",,"Yo necesito ayuda con el Programa de Cuidado en el Hogar para los Envejecientes.",
267,-2,203,"I need help with or have a problem with the Area Agency on Aging (services, transportation, and more).",,"Yo no estoy recibiendo los servicios que necesito.",
264,-2,203,"I need help with the CT Pool Trust for Elders.",,"Yo necesito ayuda con el CT Pool Trust for Elders.",
266,-1,203,"I need help with fuel assistance (LIHEAP).",,"Yo tengo un problema con la asistencia para energía (LIHEAP).",
381,-3,266,"I get fuel assistance now and have a problem or need help.",," Yo tengo un problema con el Programa de Asistencia de Energía para Hogares de Bajos Recursos, conocido como LIHEAP.",
380,-2,266,"I want to know more about LIHEAP.",,"Yo quiero saber más sobre LIHEAP.",
379,-1,266,"I don't get LIHEAP. My application was denied or I have another problem with fuel assistance.",,"Yo apliqué para LIHEAP pero me lo negaron.",
268,0,203,"I need help with another Connecticut benefits program.",,"Yo necesito ayuda con otros programas de beneficios en Connecticut.",
58,-2,22,"I need help with federal benefits programs: Social Security, SSI, SSDI, Medicare, veterans' benefits, and more.",,"Yo necesito ayuda con programas de beneficios federales: Seguro Social, SSI, SSDI, Medicare, beneficios de veteranos, y más.",
205,-2,58,"I need help with Social Security (SSI and SSDI).",,"Yo necesito ayuda con el Seguro Social (SSI y SSDI).",
252,-2,205,"I need information about Social Security.",,"Yo tengo preguntas o necesito información acerca del Seguro Social.",
253,-1,205,"I need help with my own SSI, SSDI, or Disabled Widows benefits.",,"Yo necesito ayuda con mi propio SSI, SSDI, o Beneficios de Viudez por Incapacidad.",
394,-2,253,"I need help getting Social Security Disability, SSI, or Disabled Widows benefits.",,"Yo necesito ayuda obteniendo Seguro Social por Incapacidad, SSI, o Beneficios de Viudez por Incapacidad.",
395,-1,253,"My benefits are being lowered or cut off.",,"Mis beneficios están siendo reducidos o terminados.",
397,0,253,"I have another problem with my benefits.",,"Yo tengo otro problema con mis beneficios.",
396,0,253,"Social Security says they overpaid me (Notice of Overpayment) and I owe them money.",,"Me han atribuído un caso de sobrepago.",
255,0,205,"I need help with my child's SSI benefits.",,"Yo necesito ayuda con los beneficios de SSI de mi hijo.",
432,-2,255,"I need help getting SSI benefits for my child.",,"Yo necesito ayuda para obtener beneficios de SSI para mi hijo.",
430,-1,255,"My child's benefits are being lowered.",,"Los beneficios de mi hijo han sido reducidos.",
431,0,255,"I don't think  my child is getting the right amount of benefits.",,"Yo no creo que mi hijo está recibiendo la cantidad correcta de beneficios.",
433,1,255,"I have another problem with my child's benefits.",,"Yo tengo otro problema con los beneficios de mi hijo.",
254,1,205,"I have a different problem with SSI, SSDI, or Disabled Widows benefits.",,"Yo tengo un problema diferente con SSI, SSDI, o Beneficios de Viudez por Incapacidad.",
206,-1,58,"I need help with VA benefits.",,"Yo necesito ayuda con beneficios de veteranos.",
207,0,58,"I need help with Medicare.",,"Yo necesito ayuda con Medicare.",
348,0,207,"I have low income and need help paying for Medicare.",,"I have low income and need help paying for Medicare.",
349,0,207,"I need to find out more about Medicare or get help with a problem related to my Medicare coverage.",,"I need to find out more about Medicare or get help with a problem related to my Medicare coverage.",
208,1,58,"I need help with another Federal benefits program",,"I need help with another Federal benefits program",
55,0,22,"I have health insurance through a private company or health co-op. I have a question or problem about my coverage.",,"Yo tengo seguro de salud a través de una compañia privada o una cooperativa de salud.   Yo tengo una pregunta o problema sobre mi cubertura.",
150,0,55,"I am having problems with a bill.",,"Yo estoy teniendo problemas con una factura. ",
149,1,55,"I don’t think I'm getting the coverage I was promised.",,"Yo no creo que estoy recibiendo la cubertura que me prometieron.",
148,2,55,"I am having a different problem with my private health insurance.",,"Yo estoy teniendo un problema diferente con mi seguro de salud privado.",
59,1,22,"I have a question or problem with my health benefits at work.",,"Yo tengo una pregunta o problema relacionado a mis beneficios de salud en el trabajo.",
56,2,22,"I need help with health-related expenses.",,"Yo necesito ayuda con gastos de cuidado de salud.",
175,0,56,"I have a problem with medical bills.",,"Yo tengo un problema con facturas médicas.",
327,0,175,"I need help paying for medical bills.",,"Yo necesito ayuda para pagar mis facturas médicas.",
328,1,175,"I applied for help with paying for medical bills but I was denied.",,"Yo solicité ayuda para pagar mis facturas médicas pero me negaron.",
172,1,56,"I want to find out about  free or low-cost dental care.",,"Yo quiero aprender sobre cuidado dental gratis o de bajo costo.",
174,2,56,"I am looking for help with prescription drug coverage.",,"Yo estoy buscando ayuda con cubertura de medicamentos.",
176,3,56,"I want to find out about free or low-cost health clinics.",,"Yo quiero aprender sobre clínicas de salud gratis o de bajo costo.",
173,4,56,"I need other information about affordable health care.",,"Yo necesito otra información sobre seguro de salud a bajo precio.",
21,3,0,"Work and Unemployment","Problems with pay, loss of job, unemployment, FMLA, lay-offs, harassment, discrimination.",Empleo,"Problemas de pago, pérdida de empleo, desempleo, condiciones de trabajo, despidos, acoso, discriminación."
52,0,21,"My problem or question is about unemployment benefits.",,"Mi problema o pregunta es de beneficios de desempleo.",
121,-1,52,"I want  to get unemployment benefits because I lost my job.",,"Yo quiero recibir beneficios de desempleo porque perdí mi trabajo.",
120,0,52,"I want to know about other benefits I may qualify for.",,"Yo quiero saber sobre otros beneficios para los cuales yo pueda calificar. ",
122,1,52,"I applied for unemployment but was denied.",,"Apliqué para desempleo pero me lo negaron.",
119,2,52,"I need help with qualifying for benefits (such as food stamps, fuel aid, help from the town).",,"Yo necesito ayuda calificando para beneficios (tales como cupones de alimentos, asistencia para combustible, ayuda del pueblo).",
53,1,21,"My legal issue is about a former job where I was fired, laid off, or quit.",,"Mi problema legal es con un empleo anterior en donde fui despedido, cesanteado, o renuncié. ",
179,0,53,"I wasn't paid everything I earned.",,"No me pagaron todo lo que gané.",
178,1,53,"I wasn't paid for sick or vacation time that I was still eligible for when I finished working.",,"No fui pagado por tiempo de enfermedad o vacaciones para el cual todavía era eligible cuando terminé de trabajar.",
319,0,178,"I had a contract.",,"Yo tenía un contrato.",
318,1,178,"I did NOT have a contract.",,"Yo NO tenía un contrato.",
177,2,53,"I don't think that I should have been fired or laid off and I want to get my job back.",,"Yo pienso que no he debido ser despedido o cesanteado y quiero recuperar mi trabajo.",
263,0,177,"I believe that I was fired because of my sex, pregnancy, sexual orientation, race, color, disability, religion, age, ancestry, or national origin.",,"Yo creo que fui despedido a causa de mi género, embarazo, orientación sexual, raza, color, incapacidad, religión, edad, descendencia, u origen nacional.",
405,0,263,"I have not yet taken any legal action.  I want to talk to a lawyer first.",,"Yo no he tomado ninguna acción legal. Yo quiero  hablar con un abogado primero.",
406,1,263,"I already have a case in court.  I need help from a lawyer.",,"Yo ya tengo un caso en la corte. Necesito ayuda de un abogado.",
260,1,177,"I believe I was fired for reporting unsafe or illegal behavior (such as unsafe working conditions or sexual harassment).",,"Yo creo que fui despedido por reportar comportamiento ilegal o peligroso (tales como condiciones laborales inseguras o acoso sexual).",
261,2,177,"I was fired because I missed work.",,"Yo fui despedido porque falté al trabajo.",
